tender_id,tender_title,department,procurement_authority,category,location,state,state_code,district,tender_date,closing_date,award_date,estimated_value,awarded_value,bidder_count,winning_vendor_id,winning_vendor_name,contract_id,contract_duration,expected_completion,actual_completion,completion_delay_days,payment_amount,status,intended_tier
TND-2026-00001,"Preventive Maintenance of HT Substations and Generator Sets, Tumakuru",Urban Transport Corporation,Karnataka Urban Transport Corporation,Maintenance Services,"Tumakuru, Karnataka",Karnataka,IN-KA,Tumakuru,2025-12-12T00:00:00.000Z,2026-01-06T00:00:00.000Z,2026-02-02T00:00:00.000Z,960426,881214,5,V-1006,Kavach Security Solutions,CNT-00001,124,2026-06-06T00:00:00.000Z,,0,803620,In Progress,LOW
TND-2026-00002,"Procurement of Interactive Smart Classroom Digital Panels, Nagpur",Department of School Education,Maharashtra Department of School Education,IT Equipment,"Nagpur, Maharashtra",Maharashtra,IN-MH,Nagpur,2025-04-08T00:00:00.000Z,2025-04-29T00:00:00.000Z,2025-05-16T00:00:00.000Z,2512837,2503205,6,V-1042,V-1042 Enterprise Logistics,CNT-00002,304,2026-03-16T00:00:00.000Z,,2,2391342,In Progress,LOW
TND-2026-00003,"Bulk Procurement of Structural Steel Sections and Tubular Poles, Vijayawada",Rural Development Authority,Andhra Pradesh Rural Development Authority,Construction Materials,"Vijayawada, Andhra Pradesh",Andhra Pradesh,IN-AP,Vijayawada,2025-11-14T00:00:00.000Z,2025-12-10T00:00:00.000Z,2026-01-09T00:00:00.000Z,2559577,3417550,4,V-2187,V-2187 Logistics & Transport,CNT-00003,144,2026-06-02T00:00:00.000Z,2026-06-02T00:00:00.000Z,0,3152807,Completed,MEDIUM
TND-2026-00004,"Procurement of Analytical Precision Balances and Fume Hoods, Patna",Health & Family Welfare Directorate,Bihar Health & Family Welfare Directorate,Laboratory Equipment,"Patna, Bihar",Bihar,IN-BR,Patna,2025-12-25T00:00:00.000Z,2026-01-16T00:00:00.000Z,2026-02-05T00:00:00.000Z,3879833,3768603,4,V-1003,Bharat Instruments Corp,CNT-00004,330,2027-01-01T00:00:00.000Z,,0,3619521,In Progress,LOW
TND-2026-00005,"Project Management Consultancy (PMC) for Smart City Infrastructure, Visakhapatnam",Urban Transport Corporation,Andhra Pradesh Urban Transport Corporation,Consulting Services,"Visakhapatnam, Andhra Pradesh",Andhra Pradesh,IN-AP,Visakhapatnam,2025-07-10T00:00:00.000Z,2025-08-19T00:00:00.000Z,2025-09-13T00:00:00.000Z,1539736,1592291,4,V-1034,Suryodaya Clean Energy,CNT-00005,120,2026-01-11T00:00:00.000Z,2026-01-11T00:00:00.000Z,0,1424443,Completed,LOW
TND-2026-00006,"Annual Routine Maintenance of Municipal Asphalt Road Corridors, South Delhi",Urban Transport Corporation,Delhi Urban Transport Corporation,Maintenance Services,"South Delhi, Delhi",Delhi,IN-DL,South Delhi,2025-11-16T00:00:00.000Z,2025-12-18T00:00:00.000Z,2026-01-01T00:00:00.000Z,804381,1109649,6,V-1011,Sankalp Facilities Management,CNT-00006,214,2026-08-03T00:00:00.000Z,,17,1084334,In Progress,MEDIUM
TND-2026-00007,"Annual Rate Contract for Secretariat Stationery and Printing Items, Jaipur",Rural Development Authority,Rajasthan Rural Development Authority,Office Supplies,"Jaipur, Rajasthan",Rajasthan,IN-RJ,Jaipur,2025-12-09T00:00:00.000Z,2026-01-12T00:00:00.000Z,2026-01-29T00:00:00.000Z,385479,564395,5,V-1011,Sankalp Facilities Management,CNT-00007,135,2026-06-13T00:00:00.000Z,,0,549868,In Progress,HIGH
TND-2026-00008,"Supply of Portland Pozzolana Cement (PPC) for Municipal Works, Jaipur",Public Works Department,Rajasthan Public Works Department,Construction Materials,"Jaipur, Rajasthan",Rajasthan,IN-RJ,Jaipur,2025-09-22T00:00:00.000Z,2025-10-27T00:00:00.000Z,2025-11-19T00:00:00.000Z,2223567,2271174,3,V-1023,Unnati Medical Technologies,CNT-00008,193,2026-05-31T00:00:00.000Z,,0,2155912,In Progress,LOW
TND-2026-00009,"Construction of High-Level RCC Bridge across River Drainage, Tumakuru",Rural Development Authority,Karnataka Rural Development Authority,Road & Infrastructure,"Tumakuru, Karnataka",Karnataka,IN-KA,Tumakuru,2025-07-25T00:00:00.000Z,2025-08-17T00:00:00.000Z,2025-09-02T00:00:00.000Z,12863783,13138929,7,V-1008,Setu Engineering Works,CNT-00009,266,2026-05-26T00:00:00.000Z,,0,11739635,In Progress,LOW
TND-2026-00010,"Comprehensive Annual Maintenance Contract (CAMC) for Hospital Chillers, Ranchi",Health & Family Welfare Directorate,Jharkhand Health & Family Welfare Directorate,Maintenance Services,"Ranchi, Jharkhand",Jharkhand,IN-JH,Ranchi,2025-08-11T00:00:00.000Z,2025-09-22T00:00:00.000Z,2025-10-13T00:00:00.000Z,726632,667110,5,V-1011,Sankalp Facilities Management,CNT-00010,256,2026-06-26T00:00:00.000Z,,0,643330,In Progress,LOW
TND-2026-00011,"Comprehensive Annual Maintenance Contract (CAMC) for Hospital Chillers, North Delhi",Public Works Department,Delhi Public Works Department,Maintenance Services,"North Delhi, Delhi",Delhi,IN-DL,North Delhi,2025-10-25T00:00:00.000Z,2025-11-27T00:00:00.000Z,2025-12-14T00:00:00.000Z,958653,852436,7,V-1017,Kaveri Civil Infrastructure,CNT-00011,213,2026-07-15T00:00:00.000Z,,0,807898,In Progress,LOW
TND-2026-00012,"Consultancy Services for Environmental Impact and GIS Master Planning, Nizamabad",Power & Energy Transmission Board,Telangana Power & Energy Transmission Board,Consulting Services,"Nizamabad, Telangana",Telangana,IN-TG,Nizamabad,2025-11-29T00:00:00.000Z,2025-12-29T00:00:00.000Z,2026-01-21T00:00:00.000Z,1483733,1748107,3,V-1022,Meridian Consultancy Services,CNT-00012,98,2026-04-29T00:00:00.000Z,,28,1649693,In Progress,MEDIUM
TND-2026-00013,"Construction of Bituminous Concrete Road with Drainage Culverts, Pune",Public Works Department,Maharashtra Public Works Department,Road & Infrastructure,"Pune, Maharashtra",Maharashtra,IN-MH,Pune,2025-08-10T00:00:00.000Z,2025-09-02T00:00:00.000Z,2025-09-19T00:00:00.000Z,8496137,8537989,5,V-1007,Garuda Fleet Dynamics,CNT-00013,333,2026-08-18T00:00:00.000Z,,33,7265503,In Progress,LOW
TND-2026-00014,"Third-Party Quality Assurance & Technical Audit Inspection Services, Tiruchirappalli",Information Technology & e-Gov Directorate,Tamil Nadu Information Technology & e-Gov Directorate,Consulting Services,"Tiruchirappalli, Tamil Nadu",Tamil Nadu,IN-TN,Tiruchirappalli,2025-11-29T00:00:00.000Z,2026-01-11T00:00:00.000Z,2026-02-06T00:00:00.000Z,1417921,1356700,6,V-1038,Kalyan Heavy Machineries,CNT-00014,344,2027-01-16T00:00:00.000Z,,14,1253594,In Progress,LOW
TND-2026-00015,"Supply of Ready Mix Concrete (M-30 Grade) for Infrastructure, Kolkata",Rural Development Authority,West Bengal Rural Development Authority,Construction Materials,"Kolkata, West Bengal",West Bengal,IN-WB,Kolkata,2025-10-26T00:00:00.000Z,2025-11-20T00:00:00.000Z,2025-12-12T00:00:00.000Z,4421036,3992811,4,V-1032,Tricolor Paper & Stationery,CNT-00015,331,2026-11-08T00:00:00.000Z,2026-11-08T00:00:00.000Z,0,3933997,Completed,LOW
TND-2026-00016,"Procurement and Installation of Digital Radiography X-Ray Systems, Kota",Health & Family Welfare Directorate,Rajasthan Health & Family Welfare Directorate,Medical Equipment,"Kota, Rajasthan",Rajasthan,IN-RJ,Kota,2026-01-12T00:00:00.000Z,2026-02-04T00:00:00.000Z,2026-03-05T00:00:00.000Z,3912989,3793910,4,V-1013,Sanjeevani Diagnostic Equipment,CNT-00016,285,2026-12-15T00:00:00.000Z,,21,3450301,In Progress,MEDIUM
TND-2026-00017,"Consultancy Services for Environmental Impact and GIS Master Planning, Varanasi",Information Technology & e-Gov Directorate,Uttar Pradesh Information Technology & e-Gov Directorate,Consulting Services,"Varanasi, Uttar Pradesh",Uttar Pradesh,IN-UP,Varanasi,2025-08-19T00:00:00.000Z,2025-09-30T00:00:00.000Z,2025-10-25T00:00:00.000Z,2043444,1966880,5,V-1029,Arth Strategic Solutions,CNT-00017,102,2026-02-04T00:00:00.000Z,,0,1960665,In Progress,LOW
TND-2026-00018,"Procurement of Advanced Life Support (ALS) Ambulance Vehicles, Visakhapatnam",Police Housing & Logistics Dept,Andhra Pradesh Police Housing & Logistics Dept,Vehicles,"Visakhapatnam, Andhra Pradesh",Andhra Pradesh,IN-AP,Visakhapatnam,2025-04-29T00:00:00.000Z,2025-05-23T00:00:00.000Z,2025-06-08T00:00:00.000Z,4655360,5058789,4,V-1024,Kaushal Roadways Corp,CNT-00018,222,2026-01-16T00:00:00.000Z,,29,4958797,In Progress,MEDIUM
TND-2026-00019,"Comprehensive Annual Maintenance Contract (CAMC) for Hospital Chillers, Meerut",Health & Family Welfare Directorate,Uttar Pradesh Health & Family Welfare Directorate,Maintenance Services,"Meerut, Uttar Pradesh",Uttar Pradesh,IN-UP,Meerut,2025-09-13T00:00:00.000Z,2025-10-17T00:00:00.000Z,2025-11-07T00:00:00.000Z,700545,1300815,5,V-1026,Prerna Facility Services,CNT-00019,290,2026-08-24T00:00:00.000Z,,0,1257709,In Progress,HIGH
TND-2026-00020,"Construction of Bituminous Concrete Road with Drainage Culverts, Silchar",Rural Development Authority,Assam Rural Development Authority,Road & Infrastructure,"Silchar, Assam",Assam,IN-AS,Silchar,2025-11-12T00:00:00.000Z,2025-12-27T00:00:00.000Z,2026-01-12T00:00:00.000Z,8384007,8613217,6,V-1036,Himalaya Road Network Corp,CNT-00020,229,2026-08-29T00:00:00.000Z,,0,8013457,In Progress,LOW
TND-2026-00021,"Bulk Procurement of Structural Steel Sections and Tubular Poles, Kota",Police Housing & Logistics Dept,Rajasthan Police Housing & Logistics Dept,Construction Materials,"Kota, Rajasthan",Rajasthan,IN-RJ,Kota,2025-10-15T00:00:00.000Z,2025-11-14T00:00:00.000Z,2025-11-30T00:00:00.000Z,3385112,3584303,5,V-1000,Alpha Tech Solutions,CNT-00021,234,2026-07-22T00:00:00.000Z,,0,3257480,In Progress,MEDIUM
TND-2026-00022,"Supply and Commissioning of Enterprise Server Racks and UPS Units, Mumbai",Police Housing & Logistics Dept,Maharashtra Police Housing & Logistics Dept,IT Equipment,"Mumbai, Maharashtra",Maharashtra,IN-MH,Mumbai,2025-12-06T00:00:00.000Z,2025-12-28T00:00:00.000Z,2026-01-13T00:00:00.000Z,1323153,1243905,4,V-1037,Paramount Data Networks,CNT-00022,318,2026-11-27T00:00:00.000Z,2026-11-27T00:00:00.000Z,0,1182460,Completed,LOW
TND-2026-00023,"Procurement of Portable Ultrasound Doppler Scanning Machines, Jalandhar",Health & Family Welfare Directorate,Punjab Health & Family Welfare Directorate,Medical Equipment,"Jalandhar, Punjab",Punjab,IN-PB,Jalandhar,2025-09-21T00:00:00.000Z,2025-10-12T00:00:00.000Z,2025-10-29T00:00:00.000Z,4063695,4186108,5,V-1013,Sanjeevani Diagnostic Equipment,CNT-00023,285,2026-08-10T00:00:00.000Z,2026-08-10T00:00:00.000Z,0,4005557,Completed,LOW
TND-2026-00024,"Pavement Quality Concrete (PQC) Laying and Junction Improvement, Kalaburagi",Rural Development Authority,Karnataka Rural Development Authority,Road & Infrastructure,"Kalaburagi, Karnataka",Karnataka,IN-KA,Kalaburagi,2025-11-12T00:00:00.000Z,2025-12-16T00:00:00.000Z,2026-01-05T00:00:00.000Z,7788176,7515929,6,V-1011,Sankalp Facilities Management,CNT-00024,314,2026-11-15T00:00:00.000Z,,0,7693972,In Progress,LOW
TND-2026-00025,"Supply and Commissioning of Enterprise Server Racks and UPS Units, Salem",Information Technology & e-Gov Directorate,Tamil Nadu Information Technology & e-Gov Directorate,IT Equipment,"Salem, Tamil Nadu",Tamil Nadu,IN-TN,Salem,2025-04-20T00:00:00.000Z,2025-06-02T00:00:00.000Z,2025-06-29T00:00:00.000Z,1898851,2037837,6,V-1042,V-1042 Enterprise Logistics,CNT-00025,150,2025-11-26T00:00:00.000Z,2025-11-26T00:00:00.000Z,0,1788256,Completed,LOW
