tender_id,tender_title,department,procurement_authority,category,location,state,state_code,district,tender_date,closing_date,award_date,estimated_value,awarded_value,bidder_count,winning_vendor_id,winning_vendor_name,contract_id,contract_duration,expected_completion,actual_completion,completion_delay_days,payment_amount,status,intended_tier
TND-2026-00001,"Preventive Maintenance of HT Substations and Generator Sets, Tumakuru",Urban Transport Corporation,Karnataka Urban Transport Corporation,Maintenance Services,"Tumakuru, Karnataka",Karnataka,IN-KA,Tumakuru,2025-12-12T00:00:00.000Z,2026-01-06T00:00:00.000Z,2026-02-02T00:00:00.000Z,960426,881214,5,V-1006,Kavach Security Solutions,CNT-00001,124,2026-06-06T00:00:00.000Z,,0,803620,In Progress,LOW
TND-2026-00002,"Procurement of Interactive Smart Classroom Digital Panels, Nagpur",Department of School Education,Maharashtra Department of School Education,IT Equipment,"Nagpur, Maharashtra",Maharashtra,IN-MH,Nagpur,2025-04-08T00:00:00.000Z,2025-04-29T00:00:00.000Z,2025-05-16T00:00:00.000Z,2512837,2503205,6,V-1005,V-1042 Enterprise Logistics,CNT-00002,304,2026-03-16T00:00:00.000Z,,2,2391342,In Progress,LOW
TND-2026-00003,"Bulk Procurement of Structural Steel Sections and Tubular Poles, Vijayawada",Rural Development Authority,Andhra Pradesh Rural Development Authority,Construction Materials,"Vijayawada, Andhra Pradesh",Andhra Pradesh,IN-AP,Vijayawada,2025-11-14T00:00:00.000Z,2025-12-10T00:00:00.000Z,2026-01-09T00:00:00.000Z,2559577,3417550,4,V-1030,V-2187 Logistics & Transport,CNT-00003,144,2026-06-02T00:00:00.000Z,2026-06-02T00:00:00.000Z,0,3152807,Completed,MEDIUM
TND-2026-00004,"Procurement of Analytical Precision Balances and Fume Hoods, Patna",Health & Family Welfare Directorate,Bihar Health & Family Welfare Directorate,Laboratory Equipment,"Patna, Bihar",Bihar,IN-BR,Patna,2025-12-25T00:00:00.000Z,2026-01-16T00:00:00.000Z,2026-02-05T00:00:00.000Z,3879833,3768603,4,V-1003,Bharat Instruments Corp,CNT-00004,330,2027-01-01T00:00:00.000Z,,0,3619521,In Progress,LOW
TND-2026-00005,"Project Management Consultancy (PMC) for Smart City Infrastructure, Visakhapatnam",Urban Transport Corporation,Andhra Pradesh Urban Transport Corporation,Consulting Services,"Visakhapatnam, Andhra Pradesh",Andhra Pradesh,IN-AP,Visakhapatnam,2025-07-10T00:00:00.000Z,2025-08-19T00:00:00.000Z,2025-09-13T00:00:00.000Z,1539736,1592291,4,V-1034,Suryodaya Clean Energy,CNT-00005,120,2026-01-11T00:00:00.000Z,2026-01-11T00:00:00.000Z,0,1424443,Completed,LOW
TND-2026-00006,"Annual Routine Maintenance of Municipal Asphalt Road Corridors, South Delhi",Urban Transport Corporation,Delhi Urban Transport Corporation,Maintenance Services,"South Delhi, Delhi",Delhi,IN-DL,South Delhi,2025-11-16T00:00:00.000Z,2025-12-18T00:00:00.000Z,2026-01-01T00:00:00.000Z,804381,1109649,6,V-1011,Sankalp Facilities Management,CNT-00006,214,2026-08-03T00:00:00.000Z,,17,1084334,In Progress,MEDIUM
TND-2026-00007,"Annual Rate Contract for Secretariat Stationery and Printing Items, Jaipur",Rural Development Authority,Rajasthan Rural Development Authority,Office Supplies,"Jaipur, Rajasthan",Rajasthan,IN-RJ,Jaipur,2025-12-09T00:00:00.000Z,2026-01-12T00:00:00.000Z,2026-01-29T00:00:00.000Z,385479,564395,5,V-1011,Sankalp Facilities Management,CNT-00007,135,2026-06-13T00:00:00.000Z,,0,549868,In Progress,HIGH
TND-2026-00008,"Supply of Portland Pozzolana Cement (PPC) for Municipal Works, Jaipur",Public Works Department,Rajasthan Public Works Department,Construction Materials,"Jaipur, Rajasthan",Rajasthan,IN-RJ,Jaipur,2025-09-22T00:00:00.000Z,2025-10-27T00:00:00.000Z,2025-11-19T00:00:00.000Z,2223567,2271174,3,V-1023,Unnati Medical Technologies,CNT-00008,193,2026-05-31T00:00:00.000Z,,0,2155912,In Progress,LOW
TND-2026-00009,"Construction of High-Level RCC Bridge across River Drainage, Tumakuru",Rural Development Authority,Karnataka Rural Development Authority,Road & Infrastructure,"Tumakuru, Karnataka",Karnataka,IN-KA,Tumakuru,2025-07-25T00:00:00.000Z,2025-08-17T00:00:00.000Z,2025-09-02T00:00:00.000Z,12863783,13138929,7,V-1008,Setu Engineering Works,CNT-00009,266,2026-05-26T00:00:00.000Z,,0,11739635,In Progress,LOW
TND-2026-00010,"Comprehensive Annual Maintenance Contract (CAMC) for Hospital Chillers, Ranchi",Health & Family Welfare Directorate,Jharkhand Health & Family Welfare Directorate,Maintenance Services,"Ranchi, Jharkhand",Jharkhand,IN-JH,Ranchi,2025-08-11T00:00:00.000Z,2025-09-22T00:00:00.000Z,2025-10-13T00:00:00.000Z,726632,667110,5,V-1011,Sankalp Facilities Management,CNT-00010,256,2026-06-26T00:00:00.000Z,,0,643330,In Progress,LOW
