work_id,description,state,state_code,district,constituency,mp_name,agency,category,estimated_cost,sanctioned_amount,expenditure,utilization,cost_deviation,expected_days,actual_days,delayed,delay_days,sanction_date,expected_completion,actual_completion,status,duplicate_candidate,signals,primary_signal,risk_score,risk_tier
W-10001,"Construction of public toilet block, Gram Panchayat",Maharashtra,IN-MH,Aurangabad,Aurangabad (PC-13),Hon'ble MP — Aurangabad PC,Prerna Civil Works Unit,Public Amenities,473000,478000,355000,74.3,-34,238,238,False,0,2025-10-12T00:00:00.000Z,2026-06-07T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,15,LOW
W-10002,"Construction of overhead water tank, New Colony",Punjab,IN-PB,Jalandhar,Jalandhar (PC-39),Hon'ble MP — Jalandhar PC,Chetna Public Amenities Unit,Water & Sanitation,1596000,1583000,595000,37.6,-4,358,358,False,0,2025-05-07T00:00:00.000Z,2026-04-30T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,9,LOW
W-10003,"Construction of CC road with side drains, Ward 11",Karnataka,IN-KA,Belagavi,Belagavi (PC-11),Hon'ble MP — Belagavi PC,Gramin Vikas Nigam,Road Construction,1624000,1818000,641000,35.3,-17,231,231,False,0,2025-05-09T00:00:00.000Z,2025-12-26T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,14,LOW
W-10004,"Provision of smart-classroom and furniture setup, Gram Panchayat",West Bengal,IN-WB,Darjeeling,Darjeeling (PC-13),Hon'ble MP — Darjeeling PC,Meridian Infra Works,Education,650000,759000,650000,85.6,-15,265,265,False,0,2025-08-26T00:00:00.000Z,2026-05-18T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,26,LOW
W-10005,"Construction of crematorium shed and pathway, Gram Panchayat",Kerala,IN-KL,Ernakulam,Ernakulam (PC-16),Hon'ble MP — Ernakulam PC,Aadhar Works Agency,Other,405000,449000,266000,59.2,-30,343,343,False,0,2025-12-20T00:00:00.000Z,2026-11-28T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,27,LOW
W-10006,"Construction of indoor sports hall, Sector 7",West Bengal,IN-WB,Kolkata,Kolkata (PC-16),Hon'ble MP — Kolkata PC,Sahyog Development Trust,Sports,778000,778000,606000,77.9,-21,358,358,False,0,2025-10-04T00:00:00.000Z,2026-09-27T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,18,LOW
W-10007,"Miscellaneous local area development works, New Colony",Madhya Pradesh,IN-MP,Gwalior,Gwalior (PC-16),Hon'ble MP — Gwalior PC,Vikas Engineering Corp,Other,515000,611000,320000,52.4,-5,220,220,False,0,2025-09-15T00:00:00.000Z,2026-04-23T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,24,LOW
W-10008,"Construction of ambulance shed and waiting hall, Zone 3",Telangana,IN-TG,Nizamabad,Nizamabad (PC-38),Hon'ble MP — Nizamabad PC,Setu Public Works Division,Health,1795000,1944000,1751000,90.1,34,319,422,True,103,2025-04-17T00:00:00.000Z,2026-03-02T00:00:00.000Z,,Delayed,True,Project delay; Potential duplicate work; Compliance deviation,Potential duplicate work,65,HIGH
W-10009,"Miscellaneous local area development works, Zone 3",Delhi,IN-DL,New Delhi,New Delhi (PC-38),Hon'ble MP — New Delhi PC,Utkarsh Rural Agency,Other,323000,360000,342000,95,-44,322,322,False,0,2025-10-01T00:00:00.000Z,2026-08-19T00:00:00.000Z,2026-08-19T00:00:00.000Z,Completed,False,Within expected pattern,Within expected pattern,24,LOW
W-10010,"Construction of overhead water tank, New Colony",Gujarat,IN-GJ,Bhavnagar,Bhavnagar (PC-36),Hon'ble MP — Bhavnagar PC,Sahyog Development Trust,Water & Sanitation,1342000,1516000,1268000,83.6,-8,287,287,False,0,2025-07-06T00:00:00.000Z,2026-04-19T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,15,LOW
W-10011,"Construction of crematorium shed and pathway, Zone 3",Uttar Pradesh,IN-UP,Lucknow,Lucknow (PC-16),Hon'ble MP — Lucknow PC,Arth Development Board,Other,638000,697000,529000,75.9,9,270,270,False,0,2025-06-20T00:00:00.000Z,2026-03-17T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,50,MEDIUM
W-10012,"Development of village playground, Gram Panchayat",Kerala,IN-KL,Kozhikode,Kozhikode (PC-8),Hon'ble MP — Kozhikode PC,Setu Public Works Division,Sports,977000,1019000,1061000,104.1,4,284,284,False,0,2025-09-13T00:00:00.000Z,2026-06-24T00:00:00.000Z,2026-06-24T00:00:00.000Z,Completed,False,Within expected pattern,Within expected pattern,46,MEDIUM
W-10013,"Widening and strengthening of internal roads, Ward 11",Rajasthan,IN-RJ,Jaipur,Jaipur (PC-25),Hon'ble MP — Jaipur PC,Pragati Construction Cell,Road Construction,2079000,2399000,1657000,69.1,9,353,353,False,0,2025-05-27T00:00:00.000Z,2026-05-15T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,55,MEDIUM
W-10014,"Miscellaneous local area development works, Phase II",Maharashtra,IN-MH,Nagpur,Nagpur (PC-4),Hon'ble MP — Nagpur PC,Nirman Urban Works Agency,Other,631000,626000,319000,51,-2,316,316,False,0,2025-11-13T00:00:00.000Z,2026-09-25T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,13,LOW
W-10015,"Blacktopping of village approach road, Ward 4",Karnataka,IN-KA,Tumakuru,Tumakuru (PC-36),Hon'ble MP — Tumakuru PC,Gramin Vikas Nigam,Road Construction,1156000,1403000,991000,70.6,-36,339,339,False,0,2025-09-17T00:00:00.000Z,2026-08-22T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,27,LOW
W-10016,"Provision of smart-classroom and furniture setup, Ward 11",Kerala,IN-KL,Thiruvananthapuram,Thiruvananthapuram (PC-33),Hon'ble MP — Thiruvananthapuram PC,Nabh Infra Consortium,Education,911000,894000,806000,90.2,0,330,330,False,0,2025-05-06T00:00:00.000Z,2026-04-01T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,11,LOW
